Tahun,A,B,C,D,E,F,G,H,I,J
2010,8276.4,714.5,20270.7,46764.8,15959.7,8811.9,21946.9,19626.4,14231.2,1176.6
2011,10114.6,807.6,24275.1,68912.3,20704.4,12756.8,25485.6,21768.7,16447.3,2224.2
2012,10742.6,879.9,18831.6,63371.4,22020.9,10597.2,22289.1,22767.5,16513.8,2006.3
2013,10961.2,1017.3,19274,57395.8,18549.2,12354,22002.2,22137.7,17041.5,1818.9
2014,12070.1,1101.6,13072.8,51069.7,20204.7,13163.9,22683.9,21779.1,19301.7,1532.5
2015,11600.8,1075.4,12766,34648.6,18006.2,10047.4,20585.9,19801,20429.3,1405.7
2016,11638,1140.3,12381.9,27887.2,17489.7,11034.5,20116,20866.3,21129.6,1450.4
2017,12827.3,1274.7,16327.8,36880.7,21978,12700,22356.1,21588.3,20957.9,1936.8
2018,13104.3,1337.9,17628.6,41778.3,19329,14238.2,26337.4,22614.8,21562.7,2081.5
